	HGNC_ID	Gene_symbol	gene_long_name	category_sources	category	Source	Source_Date	Download_Date
36	HGNC:29106	DDHD2	DDHD DOMAIN CONTAINING 2	Pharos	ENZYME	DGIdb	20210101	20210909
37	HGNC:29106	DDHD2	DDHD DOMAIN CONTAINING 2	GO	PHOSPHOLIPASE	DGIdb	20210101	20210909
38	HGNC:21667	ORAI2	ORAI CALCIUM RELEASE-ACTIVATED CALCIUM MODULATOR 2	GuideToPharmacology	ION CHANNEL	DGIdb	20210101	20210909
39	HGNC:4039	FZD10	FRIZZLED CLASS RECEPTOR 10	GuideToPharmacology,GO,IDG,dGene	G PROTEIN COUPLED RECEPTOR	DGIdb	20210101	20210909
40	HGNC:4039	FZD10	FRIZZLED CLASS RECEPTOR 10	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
41	HGNC:4039	FZD10	FRIZZLED CLASS RECEPTOR 10	GO	CELL SURFACE	DGIdb	20210101	20210909
42	HGNC:4039	FZD10	FRIZZLED CLASS RECEPTOR 10	Pharos	KINASE	DGIdb	20210101	20210909
43	HGNC:6285	KCNMB1	POTASSIUM CALCIUM-ACTIVATED CHANNEL SUBFAMILY M REGULATORY BETA SUBUNIT 1	Pharos	ION CHANNEL	DGIdb	20210101	20210909
44	HGNC:10044	RNASE1	RIBONUCLEASE A FAMILY MEMBER 1, PANCREATIC	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
45	HGNC:8725	PCK2	PHOSPHOENOLPYRUVATE CARBOXYKINASE 2, MITOCHONDRIAL	Pharos,HumanProteinAtlas	ENZYME	DGIdb	20210101	20210909
46	HGNC:11131	SNAP23	SYNAPTOSOME ASSOCIATED PROTEIN 23	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
47	HGNC:17443	TBRG4	TRANSFORMING GROWTH FACTOR BETA REGULATOR 4	Pharos	KINASE	DGIdb	20210101	20210909
48	HGNC:13486	USP27X	UBIQUITIN SPECIFIC PEPTIDASE 27, X-LINKED	dGene	PROTEASE	DGIdb	20210101	20210909
49	HGNC:13486	USP27X	UBIQUITIN SPECIFIC PEPTIDASE 27, X-LINKED	HumanProteinAtlas	ENZYME	DGIdb	20210101	20210909
50	HGNC:3955	FRK	FYN RELATED SRC FAMILY TYROSINE KINASE	dGene,Pharos,HopkinsGroom	KINASE	DGIdb	20210101	20210909
51	HGNC:3955	FRK	FYN RELATED SRC FAMILY TYROSINE KINASE	dGene,GO	TYROSINE KINASE	DGIdb	20210101	20210909
52	HGNC:3955	FRK	FYN RELATED SRC FAMILY TYROSINE KINASE	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
53	HGNC:3955	FRK	FYN RELATED SRC FAMILY TYROSINE KINASE	GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
54	HGNC:23026	GNPTG	N-ACETYLGLUCOSAMINE-1-PHOSPHATE TRANSFERASE GAMMA SUBUNIT	Pharos	ENZYME	DGIdb	20210101	20210909
55	HGNC:23026	GNPTG	N-ACETYLGLUCOSAMINE-1-PHOSPHATE TRANSFERASE GAMMA SUBUNIT	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
56	HGNC:18303	ATP6V1H	ATPASE H+ TRANSPORTING V1 SUBUNIT H	Pharos	ENZYME	DGIdb	20210101	20210909
57	HGNC:18303	ATP6V1H	ATPASE H+ TRANSPORTING V1 SUBUNIT H	GuideToPharmacology	TRANSPORTER	DGIdb	20210101	20210909
58	HGNC:9766	RAB27A	RAB27A, MEMBER RAS ONCOGENE FAMILY	GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
59	HGNC:9390	PRKAR1B	PROTEIN KINASE CAMP-DEPENDENT TYPE I REGULATORY SUBUNIT BETA	Pharos	KINASE	DGIdb	20210101	20210909
60	HGNC:9390	PRKAR1B	PROTEIN KINASE CAMP-DEPENDENT TYPE I REGULATORY SUBUNIT BETA	GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
61	HGNC:15424	OR2W5	OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY W MEMBER 5 (GENE/PSEUDOGENE)	GO,dGene,Pharos	G PROTEIN COUPLED RECEPTOR	DGIdb	20210101	20210909
62	HGNC:13884	ABCG4	ATP BINDING CASSETTE SUBFAMILY G MEMBER 4	Pharos,GuideToPharmacology	TRANSPORTER	DGIdb	20210101	20210909
63	HGNC:13884	ABCG4	ATP BINDING CASSETTE SUBFAMILY G MEMBER 4	RussLampel	DRUGGABLE GENOME	DGIdb	20210101	20210909
64	HGNC:44446	USP17L18	UBIQUITIN SPECIFIC PEPTIDASE 17-LIKE FAMILY MEMBER 18	Pharos	ENZYME	DGIdb	20210101	20210909
65	HGNC:7634	NAIP	NLR FAMILY APOPTOSIS INHIBITORY PROTEIN	dGene	PROTEASE INHIBITOR	DGIdb	20210101	20210909
66	HGNC:11332	SSTR3	SOMATOSTATIN RECEPTOR 3	GuideToPharmacology,HopkinsGroom,dGene,GO	G PROTEIN COUPLED RECEPTOR	DGIdb	20210101	20210909
67	HGNC:11332	SSTR3	SOMATOSTATIN RECEPTOR 3	RussLampel,HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME	DGIdb	20210101	20210909
68	HGNC:11332	SSTR3	SOMATOSTATIN RECEPTOR 3	Pharos	KINASE	DGIdb	20210101	20210909
69	HGNC:13071	PATZ1	POZ/BTB AND AT HOOK CONTAINING ZINC FINGER 1	Pharos	TRANSCRIPTION FACTOR	DGIdb	20210101	20210909
70	HGNC:13071	PATZ1	POZ/BTB AND AT HOOK CONTAINING ZINC FINGER 1	CarisMolecularIntelligence	CLINICALLY ACTIONABLE	DGIdb	20210101	20210909
71	HGNC:23785	PIKFYVE	PHOSPHOINOSITIDE KINASE, FYVE-TYPE ZINC FINGER CONTAINING	GuideToPharmacology,HumanProteinAtlas,Pharos	ENZYME	DGIdb	20210101	20210909
72	HGNC:23785	PIKFYVE	PHOSPHOINOSITIDE KINASE, FYVE-TYPE ZINC FINGER CONTAINING	Pharos	KINASE	DGIdb	20210101	20210909
73	HGNC:1325	C4BPA	COMPLEMENT COMPONENT 4 BINDING PROTEIN ALPHA	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
74	HGNC:4586	GRIN2B	GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2B	GuideToPharmacology,Pharos	ION CHANNEL	DGIdb	20210101	20210909
75	HGNC:4586	GRIN2B	GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2B	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME	DGIdb	20210101	20210909
76	HGNC:4586	GRIN2B	GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2B	GO	CELL SURFACE	DGIdb	20210101	20210909
77	HGNC:20144	ZNF410	ZINC FINGER PROTEIN 410	Pharos	TRANSCRIPTION FACTOR	DGIdb	20210101	20210909
78	HGNC:7559	MYCN	MYCN PROTO-ONCOGENE, BHLH TRANSCRIPTION FACTOR	CIViC	DRUG RESISTANCE	DGIdb	20210101	20210909
79	HGNC:7559	MYCN	MYCN PROTO-ONCOGENE, BHLH TRANSCRIPTION FACTOR	MskImpact,CarisMolecularIntelligence,FoundationOneGenes,Tempus,Oncomine	CLINICALLY ACTIONABLE	DGIdb	20210101	20210909
80	HGNC:1100	BRCA1	BRCA1, DNA REPAIR ASSOCIATED	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
81	HGNC:1100	BRCA1	BRCA1, DNA REPAIR ASSOCIATED	FoundationOneGenes,CarisMolecularIntelligence,Oncomine,Tempus,CIViC,MskImpact	CLINICALLY ACTIONABLE	DGIdb	20210101	20210909
82	HGNC:1100	BRCA1	BRCA1, DNA REPAIR ASSOCIATED	HumanProteinAtlas	ENZYME	DGIdb	20210101	20210909
83	HGNC:1100	BRCA1	BRCA1, DNA REPAIR ASSOCIATED	CIViC	DRUG RESISTANCE	DGIdb	20210101	20210909
84	HGNC:8575	PAFAH1B2	PLATELET ACTIVATING FACTOR ACETYLHYDROLASE 1B CATALYTIC SUBUNIT 2	FoundationOneGenes,CarisMolecularIntelligence	CLINICALLY ACTIONABLE	DGIdb	20210101	20210909
85	HGNC:26886	RNF19B	RING FINGER PROTEIN 19B	Pharos	ENZYME	DGIdb	20210101	20210909
86	HGNC:9344	PRCP	PROLYLCARBOXYPEPTIDASE	Pharos	KINASE	DGIdb	20210101	20210909
87	HGNC:9344	PRCP	PROLYLCARBOXYPEPTIDASE	Pharos,GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
88	HGNC:9344	PRCP	PROLYLCARBOXYPEPTIDASE	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
89	HGNC:9344	PRCP	PROLYLCARBOXYPEPTIDASE	dGene	PROTEASE	DGIdb	20210101	20210909
90	HGNC:12862	ZFP36	ZFP36 RING FINGER PROTEIN	Pharos	TRANSCRIPTION FACTOR	DGIdb	20210101	20210909
91	HGNC:6862	MAP4	MICROTUBULE ASSOCIATED PROTEIN 4	Pharos	KINASE	DGIdb	20210101	20210909
92	HGNC:10489	S100A12	S100 CALCIUM BINDING PROTEIN A12	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
93	HGNC:10489	S100A12	S100 CALCIUM BINDING PROTEIN A12	Pharos	KINASE	DGIdb	20210101	20210909
94	HGNC:6397	KPNA4	KARYOPHERIN SUBUNIT ALPHA 4	Pharos	NUCLEAR HORMONE RECEPTOR	DGIdb	20210101	20210909
95	HGNC:7109	MKLN1	MUSKELIN 1	Pharos	TRANSCRIPTION FACTOR	DGIdb	20210101	20210909
96	HGNC:1675	CD3G	CD3G MOLECULE	Pharos	KINASE	DGIdb	20210101	20210909
97	HGNC:1675	CD3G	CD3G MOLECULE	GO	EXTERNAL SIDE OF PLASMA MEMBRANE	DGIdb	20210101	20210909
98	HGNC:1675	CD3G	CD3G MOLECULE	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
99	HGNC:6469	KYNU	KYNURENINASE	HumanProteinAtlas,Pharos	ENZYME	DGIdb	20210101	20210909
100	HGNC:6469	KYNU	KYNURENINASE	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
101	HGNC:12659	VAV3	VAV GUANINE NUCLEOTIDE EXCHANGE FACTOR 3	GO	DRUG RESISTANCE	DGIdb	20210101	20210909
102	HGNC:12659	VAV3	VAV GUANINE NUCLEOTIDE EXCHANGE FACTOR 3	Pharos	KINASE	DGIdb	20210101	20210909
103	HGNC:1510	CASP8AP2	CASPASE 8 ASSOCIATED PROTEIN 2	Pharos	NUCLEAR HORMONE RECEPTOR	DGIdb	20210101	20210909
104	HGNC:1666	CD37	CD37 MOLECULE	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
105	HGNC:17209	STK36	SERINE/THREONINE KINASE 36	dGene,Pharos,IDG,HopkinsGroom	KINASE	DGIdb	20210101	20210909
106	HGNC:17209	STK36	SERINE/THREONINE KINASE 36	dGene,GO	SERINE THREONINE KINASE	DGIdb	20210101	20210909
107	HGNC:17209	STK36	SERINE/THREONINE KINASE 36	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME	DGIdb	20210101	20210909
108	HGNC:17209	STK36	SERINE/THREONINE KINASE 36	GuideToPharmacology,Pharos	ENZYME	DGIdb	20210101	20210909
109	HGNC:17209	STK36	SERINE/THREONINE KINASE 36	GO	TRANSCRIPTION FACTOR BINDING	DGIdb	20210101	20210909
110	HGNC:17209	STK36	SERINE/THREONINE KINASE 36	Pharos	TRANSCRIPTION FACTOR	DGIdb	20210101	20210909
111	HGNC:18783	AKAP17A	A-KINASE ANCHORING PROTEIN 17A	Pharos	KINASE	DGIdb	20210101	20210909
112	HGNC:27506	KLHL23	KELCH LIKE FAMILY MEMBER 23	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
113	HGNC:3600	FBLN1	FIBULIN 1	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
114	HGNC:6658	VWA5A	VON WILLEBRAND FACTOR A DOMAIN CONTAINING 5A	RussLampel	DRUGGABLE GENOME	DGIdb	20210101	20210909
115	HGNC:23624	GPR151	G PROTEIN-COUPLED RECEPTOR 151	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
116	HGNC:23624	GPR151	G PROTEIN-COUPLED RECEPTOR 151	GO,HopkinsGroom,dGene,IDG,Pharos,GuideToPharmacology	G PROTEIN COUPLED RECEPTOR	DGIdb	20210101	20210909
117	HGNC:25944	MED18	MEDIATOR COMPLEX SUBUNIT 18	Pharos	TRANSCRIPTION FACTOR	DGIdb	20210101	20210909
118	HGNC:5347	ICAM4	INTERCELLULAR ADHESION MOLECULE 4 (LANDSTEINER-WIENER BLOOD GROUP)	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
119	HGNC:1103	BRD2	BROMODOMAIN CONTAINING 2	dGene	KINASE	DGIdb	20210101	20210909
120	HGNC:1103	BRD2	BROMODOMAIN CONTAINING 2	dGene	SERINE THREONINE KINASE	DGIdb	20210101	20210909
121	HGNC:1103	BRD2	BROMODOMAIN CONTAINING 2	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
122	HGNC:1103	BRD2	BROMODOMAIN CONTAINING 2	GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
123	HGNC:20292	CAB39	CALCIUM BINDING PROTEIN 39	GO	SERINE THREONINE KINASE	DGIdb	20210101	20210909
124	HGNC:20917	ALPK1	ALPHA KINASE 1	dGene,GO	SERINE THREONINE KINASE	DGIdb	20210101	20210909
125	HGNC:20917	ALPK1	ALPHA KINASE 1	dGene,Pharos	KINASE	DGIdb	20210101	20210909
126	HGNC:20917	ALPK1	ALPHA KINASE 1	GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
127	HGNC:2037	CLDN16	CLAUDIN 16	HumanProteinAtlas	TRANSPORTER	DGIdb	20210101	20210909
128	HGNC:10915	SLC12A7	SOLUTE CARRIER FAMILY 12 MEMBER 7	GuideToPharmacology	TRANSPORTER	DGIdb	20210101	20210909
129	HGNC:10915	SLC12A7	SOLUTE CARRIER FAMILY 12 MEMBER 7	GO	EXTERNAL SIDE OF PLASMA MEMBRANE	DGIdb	20210101	20210909
130	HGNC:10915	SLC12A7	SOLUTE CARRIER FAMILY 12 MEMBER 7	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME	DGIdb	20210101	20210909
131	HGNC:11142	SIK1	SALT INDUCIBLE KINASE 1	RussLampel,HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME	DGIdb	20210101	20210909
132	HGNC:11142	SIK1	SALT INDUCIBLE KINASE 1	dGene,HopkinsGroom,Pharos,Pharos	KINASE	DGIdb	20210101	20210909
133	HGNC:11142	SIK1	SALT INDUCIBLE KINASE 1	dGene,GO,GO	SERINE THREONINE KINASE	DGIdb	20210101	20210909
134	HGNC:11142	SIK1	SALT INDUCIBLE KINASE 1	HumanProteinAtlas,GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
135	HGNC:6180	ITPR1	INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1	Pharos	KINASE	DGIdb	20210101	20210909
136	HGNC:6180	ITPR1	INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1	Pharos,HopkinsGroom,GuideToPharmacology,BaderLabGenes	ION CHANNEL	DGIdb	20210101	20210909
137	HGNC:6180	ITPR1	INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME	DGIdb	20210101	20210909
138	HGNC:6180	ITPR1	INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1	HumanProteinAtlas	TRANSPORTER	DGIdb	20210101	20210909
139	HGNC:30554	CCL3L3	C-C MOTIF CHEMOKINE LIGAND 3 LIKE 3	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
140	HGNC:4498	FFAR1	FREE FATTY ACID RECEPTOR 1	Pharos,HopkinsGroom,GuideToPharmacology,GO,dGene	G PROTEIN COUPLED RECEPTOR	DGIdb	20210101	20210909
141	HGNC:4498	FFAR1	FREE FATTY ACID RECEPTOR 1	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME	DGIdb	20210101	20210909
142	HGNC:35	ABCA5	ATP BINDING CASSETTE SUBFAMILY A MEMBER 5	Pharos,GuideToPharmacology	TRANSPORTER	DGIdb	20210101	20210909
143	HGNC:35	ABCA5	ATP BINDING CASSETTE SUBFAMILY A MEMBER 5	RussLampel	DRUGGABLE GENOME	DGIdb	20210101	20210909
144	HGNC:35	ABCA5	ATP BINDING CASSETTE SUBFAMILY A MEMBER 5	GO	ABC TRANSPORTER	DGIdb	20210101	20210909
145	HGNC:11812	TRIM24	TRIPARTITE MOTIF CONTAINING 24	HumanProteinAtlas,GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
146	HGNC:11812	TRIM24	TRIPARTITE MOTIF CONTAINING 24	FoundationOneGenes	CLINICALLY ACTIONABLE	DGIdb	20210101	20210909
147	HGNC:11812	TRIM24	TRIPARTITE MOTIF CONTAINING 24	Pharos	NUCLEAR HORMONE RECEPTOR	DGIdb	20210101	20210909
148	HGNC:3113	E2F1	E2F TRANSCRIPTION FACTOR 1	GO	TUMOR SUPPRESSOR	DGIdb	20210101	20210909
149	HGNC:3113	E2F1	E2F TRANSCRIPTION FACTOR 1	GO	TRANSCRIPTION FACTOR BINDING	DGIdb	20210101	20210909
150	HGNC:3113	E2F1	E2F TRANSCRIPTION FACTOR 1	Pharos	TRANSCRIPTION FACTOR	DGIdb	20210101	20210909
151	HGNC:10647	CX3CL1	C-X3-C MOTIF CHEMOKINE LIGAND 1	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
152	HGNC:10647	CX3CL1	C-X3-C MOTIF CHEMOKINE LIGAND 1	GO	CELL SURFACE	DGIdb	20210101	20210909
153	HGNC:5473	IGFBP4	INSULIN LIKE GROWTH FACTOR BINDING PROTEIN 4	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
154	HGNC:30620	PDGFD	PLATELET DERIVED GROWTH FACTOR D	GO	GROWTH FACTOR	DGIdb	20210101	20210909
155	HGNC:30620	PDGFD	PLATELET DERIVED GROWTH FACTOR D	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
156	HGNC:29291	NYAP2	NEURONAL TYROSINE-PHOSPHORYLATED PHOSPHOINOSITIDE-3-KINASE ADAPTOR 2	Pharos	KINASE	DGIdb	20210101	20210909
157	HGNC:18829	KLHL10	KELCH LIKE FAMILY MEMBER 10	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
158	HGNC:7808	NGF	NERVE GROWTH FACTOR	Pharos	KINASE	DGIdb	20210101	20210909
159	HGNC:7808	NGF	NERVE GROWTH FACTOR	GO	GROWTH FACTOR	DGIdb	20210101	20210909
160	HGNC:7808	NGF	NERVE GROWTH FACTOR	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
161	HGNC:7866	NOG	NOGGIN	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
162	HGNC:380	AKR1A1	ALDO-KETO REDUCTASE FAMILY 1 MEMBER A1	Pharos	ENZYME	DGIdb	20210101	20210909
163	HGNC:380	AKR1A1	ALDO-KETO REDUCTASE FAMILY 1 MEMBER A1	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME	DGIdb	20210101	20210909
164	HGNC:9224	POU6F1	POU CLASS 6 HOMEOBOX 1	Pharos	TRANSCRIPTION FACTOR	DGIdb	20210101	20210909
165	HGNC:7463	MTNR1A	MELATONIN RECEPTOR 1A	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME	DGIdb	20210101	20210909
166	HGNC:7463	MTNR1A	MELATONIN RECEPTOR 1A	GO,GuideToPharmacology,dGene,HopkinsGroom	G PROTEIN COUPLED RECEPTOR	DGIdb	20210101	20210909
167	HGNC:727	ARTN	ARTEMIN	GO	GROWTH FACTOR	DGIdb	20210101	20210909
168	HGNC:727	ARTN	ARTEMIN	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
169	HGNC:727	ARTN	ARTEMIN	Pharos	TRANSCRIPTION FACTOR	DGIdb	20210101	20210909
170	HGNC:17011	HNRNPUL1	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN U LIKE 1	HopkinsGroom	B30_2 SPRY DOMAIN	DGIdb	20210101	20210909
171	HGNC:17011	HNRNPUL1	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN U LIKE 1	HopkinsGroom	DRUGGABLE GENOME	DGIdb	20210101	20210909
172	HGNC:31291	OR5K4	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY K MEMBER 4	HopkinsGroom,RussLampel	DRUGGABLE GENOME	DGIdb	20210101	20210909
173	HGNC:31291	OR5K4	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY K MEMBER 4	HopkinsGroom,dGene,Pharos,GO	G PROTEIN COUPLED RECEPTOR	DGIdb	20210101	20210909
174	HGNC:1331	C5	COMPLEMENT C5	dGene	PROTEASE INHIBITOR	DGIdb	20210101	20210909
175	HGNC:1331	C5	COMPLEMENT C5	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
176	HGNC:1331	C5	COMPLEMENT C5	Pharos	ENZYME	DGIdb	20210101	20210909
177	HGNC:7576	MYH6	MYOSIN HEAVY CHAIN 6	HingoraniCasas	DRUGGABLE GENOME	DGIdb	20210101	20210909
178	HGNC:24650	EHMT1	EUCHROMATIC HISTONE LYSINE METHYLTRANSFERASE 1	HumanProteinAtlas,GuideToPharmacology	ENZYME	DGIdb	20210101	20210909
