	DrugBank_ID	Accession_Numbers	Common_name	Synonyms	Source	Source_Date	Download_Date
23	DB00025	BIOD00029 | BTD00029 | DB13162 | DBSALT002413	Antihemophilic factor, human recombinant	Antihemophilic factor (recombinant) | Antihemophilic factor recombinant | Antihemophilic factor, human recombinant | Antihemophilic factor, recombinant | Factor VIII (rDNA) | Factor VIII (Recombinant) | Factor VIII recombin | Factor VIII, recombinant | Human Factor VIII (Recombinant) | Human factor VIII recombinant | Octocog alfa | rAHF | Recombinant antihemophilic factor VIII	DrugBank	20210103	20210909
24	DB00026	BIOD00060 | BTD00060	Anakinra	Anakinra | IL-1RA | Interleukin-1 receptor antagonist anakinra	DrugBank	20210103	20210909
25	DB00027	BIOD00036 | BTD00036	Gramicidin D	Bacillus brevis gramicidin D | Gramicidin | Gramicidin A | Gramicidin B | Gramicidin C | Gramicidina | Gramicidine	DrugBank	20210103	20210909
26	DB00028	BIOD00091 | BTD00091	Human immunoglobulin G	Human IGG | Human immunoglobulin G | Human normal immunoglobulin | Immune globulin (human) | Immune globulin human | Immunoglobulin (human) | Immunoglobulin G (human) | Immunoglobulin G, human | IVIg	DrugBank	20210103	20210909
27	DB00029	BIOD00102 | BTD00102	Anistreplase	Anisoylated plasminogen streptokinase activator complex | APSAC	DrugBank	20210103	20210909
28	DB00030	BIOD00105 | BTD00105 | DB01383 | DB05215 | DB05278 | DB05283 | DB08914	Insulin human	High molecular weight insulin human | Human insulin | human insulin (rDNA) | Insulin (human) | Insulin human | Insulin human [rDNA origin] | Insulin Human Regular | Insulin human regular (rDNA) | Insulin human, rDNA origin | Insulin recombinant human | Insulin recombinant purified human | Insulin regular | Insulin, human | Insulina regular | Regular Insulin, human	DrugBank	20210103	20210909
29	DB00031	BIOD00019 | BTD00019	Tenecteplase	Tenecteplasa | TNK-tPA	DrugBank	20210103	20210909
30	DB00032	BIOD00018 | BTD00018	Menotropins	Human menopausal gonadotrophin | Menotrophin | Menotropin | Menotropina | Menotropins (FSH;LH)	DrugBank	20210103	20210909
31	DB00033	BIOD00017 | BTD00017	Interferon gamma-1b	IFN-gamma 1b | IFN-gamma-1b | Interferon gamma 1-b | Interferon gamma-1b | Interferon gamma-1b, recombinant | Interferon gamma-2a	DrugBank	20210103	20210909
32	DB00034	BIOD00012 | BIOD00095 | BTD00012 | BTD00095 | DB00037	Interferon alfa-2a, Recombinant	Interferon alfa-2a | Interferon alfa-2a (recombinant) | Interferon alfa-2a, recombinant | Interferon alfa-2a,recombinant | Interferon alpha-2a | Interferon-alfa-2a | Recombinant human interferon alfa-2a | Recombinant human interferon-alfa-2a | rIFN-alpha-2a | SH-polypeptide-46	DrugBank	20210103	20210909
33	DB00035	BIOD00061 | BIOD00112 | BTD00061 | BTD00112	Desmopressin	1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin | 1-deamino-8-D-arginine vasopressin | 1-desamino-8-D-arginine vasopressin | dDAVP | Desmopresina | Desmopressin | Desmopressine | Desmopressinum	DrugBank	20210103	20210909
34	DB00036	BIOD00006 | BTD00006	Coagulation factor VIIa Recombinant Human	Coagulation factor VIIa | Coagulation factor VIIa (recombinant) | Coagulation factor VIIa (recombinant)-jncw | Eptacog alfa | Eptacog alfa (activated) | rFVIIa	DrugBank	20210103	20210909
35	DB00038	BIOD00021 | BTD00021	Oprelvekin	IL-11 | Interleukin 11 | Interleukin-11 | Oprelvekin | Recombinant interleukin-11	DrugBank	20210103	20210909
36	DB00039	BIOD00042 | BTD00042	Palifermin	24-163 fibroblast growth factor 7 (human) | Palifermina	DrugBank	20210103	20210909
37	DB00040	BIOD00057 | BTD00057	Glucagon	Glucagon | Glucagon (recombinant dna origin) | Glucagon recombinant | Glucagon, human | Glucagon, porcine | Glucagone | Glucagonum	DrugBank	20210103	20210909
38	DB00041	BIOD00082 | BTD00082	Aldesleukin	125-L-serine-2-133-interleukin 2 (human reduced) | Aldesleukina | Interleukin-2 aldesleukin | Interleukin-2(2-133),125-ser | Recombinant interleukin-2 human	DrugBank	20210103	20210909
39	DB00042	BIOD00070 | BTD00070	Botulinum Toxin Type B	Botulin B | Botulinum B toxin | Botulinum neurotoxin type B precursor | BTX-B | RimabotulinumtoxinB | Toxina botulínica B	DrugBank	20210103	20210909
40	DB00043	BIOD00081 | BTD00081	Omalizumab		DrugBank	20210103	20210909
41	DB00044	BIOD00056 | BTD00056	Lutropin alfa	Lutropin alfa | Lutropin alpha | Lutropina alfa	DrugBank	20210103	20210909
42	DB00045	BIOD00054 | BTD00054	Lyme disease vaccine (recombinant OspA)	Lipoprotein OspA antigen recombinant | Lipoprotein outer surface a borrelia burgdorferi antigen | OspA lipoprotein	DrugBank	20210103	20210909
43	DB00046	BIOD00065 | BTD00065 | DB01310	Insulin lispro	Insulin lispro (genetical recombination) | Insulin lispro (rDNA origin) | Insulin lispro protamine | Insulin lispro protamine recombinant | Insulin lispro recombinant | insulin lispro-aabc | Insulin,lispro,human/rDNA | Insulin,lispro,protamine/rDNA | Insulina lispro	DrugBank	20210103	20210909
44	DB00047	BIOD00045 | BTD00045 | DB01308	Insulin glargine	Insulin glargine | Insulin Glargine (rDNA origin) | Insulin glargine recombinant | Insulina glargina	DrugBank	20210103	20210909
45	DB00048	BIOD00010 | BTD00010 | DB11249	Collagenase clostridium histolyticum	Clostridium histolyticum enzymes | Collagenase | Collagenase clostridium histolyticum | collagenase clostridium histolyticum-aaes	DrugBank	20210103	20210909
46	DB00049	BIOD00090 | BTD00090	Rasburicase	Rasburicasa | Rasburicase | Urate oxidase	DrugBank	20210103	20210909
47	DB00050	APRD00686 | BIOD00115 | BTD00115	Cetrorelix	Cetrorelix | Cetrorelixum	DrugBank	20210103	20210909
48	DB00051	BIOD00049 | BTD00049	Adalimumab	Adalimumab (genetical recombination) | adalimumab-adaz | adalimumab-adbm | adalimumab-afzb | adalimumab-atto | adalimumab-bwwd | adalimumab-fkjp	DrugBank	20210103	20210909
49	DB00052	BIOD00086 | BTD00086 | DB06417	Somatotropin	Growth hormone | Growth hormone (human) | hGH | Human growth hormone | Recombinant human growth hormone | rhGH | Somatotropin (human) | Somatotropin human | Somatotropin human growth hormone | Somatropin | Somatropin (rDNA origin) | Somatropin (recombinant DNA origin) | Somatropin [rDNA origin] | Somatropin recombinant | Somatropin(recombinant DNA origin) | Somatropina	DrugBank	20210103	20210909
50	DB00053	BIOD00026 | BTD00026	Imiglucerase	Imiglucerasa	DrugBank	20210103	20210909
51	DB00054	BIOD00041 | BTD00041	Abciximab	Abciximab | Abciximab (genetical recombination) | c7E3	DrugBank	20210103	20210909
52	DB00055	BIOD00068 | BTD00068	Drotrecogin alfa	Activated protein C | Blood coagulation factor XIV (human) | Drotrecogin alfa (activated) | Drotrecogin alfa (activated), lyophilized | Drotrecogin alfa activated | Drotrecogin alfa, activated | Drotrecogin-alfa | Recombinant human activated protein C (rH-APC)	DrugBank	20210103	20210909
53	DB00056	BIOD00077 | BTD00077	Gemtuzumab ozogamicin		DrugBank	20210103	20210909
54	DB00057	BIOD00108 | BTD00108	Indium In-111 satumomab pendetide	Indium (111In) satumomab pendetide | Indium In 111 satumomab pendetide | Indium-111 satumomab pendetide	DrugBank	20210103	20210909
55	DB00058	BIOD00002 | BTD00002	Alpha-1-proteinase inhibitor	Alfa 1-proteinase inhibitor (human) | Alfa-1-antitripsina | Alfa1 antitrypsin | Alpha 1-antitrypsin | Alpha 1-Proteinase Inhibitor | Alpha 1-proteinase inhibitor (human) | Alpha 1-proteinase inhibitor, human | Alpha-1 protease inhibitor | Alpha-1 proteinase inhibitor (human) | Alpha-1-antiproteinase | Alpha-1-antitrypsin | Alpha-1-proteinase Inhibitor (human) | Alpha-1-proteinase inhibitor human | Alpha-1-proteinase Inhibitor, Human | Alpha-1-proteinase inhibitor,human | Alpha1-proteinase Inhibitor | Alpha1-proteinase inhibitor (human) | alpha1-proteinase inhibitor human | API	DrugBank	20210103	20210909
56	DB00059	BIOD00079 | BTD00079	Pegaspargase	Peg-asparaginase | Peg/L-asparaginase | Pegaspargasa	DrugBank	20210103	20210909
57	DB00060	BIOD00093 | BTD00093	Interferon beta-1a	Interferon beta 1-a | Interferon beta 1a | Interferon beta-1a (recombinant human) | Interferon beta-1a,recombinant | Interferon-beta-1a	DrugBank	20210103	20210909
58	DB00061	BIOD00100 | BTD00100	Pegademase	(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase | PEG-adenosine deaminase | pegADA | Pegademase | Pegademase bovine	DrugBank	20210103	20210909
59	DB00062	BIOD00059 | BIOD00089 | BIOD00101 | BTD00059 | BTD00089 | BTD00101 | DB00064 | DB00096	Albumin human	Albumin (human) | Albumin human | Albumin, blood | Albumin, human | Albumin, human-kjda | Human albumin | Human serum albumin | Serum albumin	DrugBank	20210103	20210909
60	DB00063	BIOD00063 | BTD00063	Eptifibatide	Eptifibatida | Eptifibatide | Integrelin | Intrifiban	DrugBank	20210103	20210909
61	DB00065	BIOD00004 | BTD00004	Infliximab	Infliximab (genetical recombination) | Infliximab-abda | Infliximab-axxq | Infliximab-dyyb | Infliximab-qbtx	DrugBank	20210103	20210909
62	DB00066	BIOD00064 | BIOD00099 | BTD00064 | BTD00099 | DB09024	Follitropin	Folitropina alfa | Folitropina beta | Folitropina delta | Follicle stimulating hormone | Follitrophin alfa | Follitrophin alpha | Follitrophin beta | Follitropin alfa | Follitropin alfa/beta | Follitropin alpha | Follitropin beta | Follitropin delta | Follitropin gamma | Follotropin recombinant | FSH | FSH alpha | FSH-a | FSH-b | FSH-beta | Recombinant human follicle stimulating hormone beta | Recombinant human follicle-stimulating hormone (r-HFSH) | rFSH-alpha	DrugBank	20210103	20210909
63	DB00067	BIOD00110 | BTD00110 | DB09392	Vasopressin	Vasopressin, unspecified | Vasopressina	DrugBank	20210103	20210909
64	DB00068	BIOD00078 | BTD00078	Interferon beta-1b	Interferon beta 1b (recombinant) | Interferon beta-1b,recombinant | Interferon-beta-1b | Recombinant interferon beta-1b	DrugBank	20210103	20210909
65	DB00069	BIOD00062 | BTD00062	Interferon alfacon-1	IFN Alfacon-1 | IFN-Con1 | Interferon alfacon-1	DrugBank	20210103	20210909
66	DB00070	BIOD00022 | BTD00022	Hyaluronidase (ovine)	Hyaluronidase (glycoprotein, sheep testis isoenzyme) | Hyaluronidase (ovine) | Hyaluronidase (sheep testis isoenzyme) | Hyaluronidase, ovine | Ovine hyaluronidase	DrugBank	20210103	20210909
67	DB00071	BIOD00031 | BTD00031	Insulin pork	Insulin (pork) | Insulin porcine | Insulin purified porcine | Insulin purified pork | Insulin, porcine | Insulin, regular, pork | Porcine insulin	DrugBank	20210103	20210909
68	DB00072	BIOD00098 | BTD00098	Trastuzumab	RHUMAB HER2 | trastuzumab-anns | trastuzumab-dkst | trastuzumab-dttb | trastuzumab-pkrb | trastuzumab-qyyp	DrugBank	20210103	20210909
69	DB00073	BIOD00014 | BTD00014	Rituximab	rituximab-abbs | rituximab-arrx | rituximab-pvvr	DrugBank	20210103	20210909
70	DB00074	BIOD00073 | BTD00073	Basiliximab	Basiliximab	DrugBank	20210103	20210909
71	DB00075	BIOD00005 | BTD00005	Muromonab	Anti-CD3 | Muromonab-CD3	DrugBank	20210103	20210909
72	DB00076	BIOD00027 | BIOD00046 | BTD00027 | BTD00046	Digoxin Immune Fab (Ovine)	Digitalis antitoxin | Digoxin Immune Fab, Ovine | Digoxin-specific Antibody Fragments | Ovine digoxin immune fab	DrugBank	20210103	20210909
73	DB00078	BIOD00069 | BTD00069	Ibritumomab tiuxetan	Ibritumomab | mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)	DrugBank	20210103	20210909
74	DB00080	BIOD00111 | BTD00111	Daptomycin	Daptomicina | Daptomycin | Daptomycine | Daptomycinum	DrugBank	20210103	20210909
75	DB00081	BIOD00085 | BTD00085 | DB09557	Tositumomab		DrugBank	20210103	20210909
76	DB00082	BIOD00044 | BTD00044	Pegvisomant		DrugBank	20210103	20210909
77	DB00083	BIOD00092 | BTD00092	Botulinum toxin type A	AbobotulinumtoxinA | Botulinum A neurotoxin | Botulinum toxin A | Botulinum toxin type A | BTX-A | Evabotulinumtoxina | IncobotulinumtoxinA | OnabotulinumtoxinA | Prabotulinumtoxin A | Toxina botulínica A | Toxine botulinique A	DrugBank	20210103	20210909
78	DB00085	BIOD00067 | BTD00067 | DB05356	Pancrelipase	Pancrealipase | Pancreatic extract pancrelipase | Pancreatic protease | Pancreatin | Pancreatinum | Pancrelipase (amylase;lipase;protease)	DrugBank	20210103	20210909
79	DB00086	BIOD00028 | BTD00028	Streptokinase	Estreptoquinasa | Streptochinasi | Streptococcal fibrinolysin | Streptokinase | Streptokinasum	DrugBank	20210103	20210909
80	DB00087	BIOD00109 | BTD00109	Alemtuzumab		DrugBank	20210103	20210909
81	DB00088	BIOD00037 | BTD00037	Alglucerase		DrugBank	20210103	20210909
82	DB00089	BIOD00080 | BTD00080	Capromab pendetide	(111In)-Capromab pendetide | Indium (111In) capromab pendetide | Indium 111 Capromab Pendetide | Indium In 111 capromab pendetide	DrugBank	20210103	20210909
83	DB00090	BIOD00008 | BTD00008	Laronidase	alpha-L-Idosiduronase | Human Recombinant alpha-L-iduronidase | Laronidasa | Laronidase | Laronidase (genetical recombination)	DrugBank	20210103	20210909
84	DB00091	BIOD00003 | BTD00003	Cyclosporine	Ciclosporin | Ciclosporina | Ciclosporine | Ciclosporinum | CsA | CyA | Cyclosporin | Cyclosporin A | Cyclosporine	DrugBank	20210103	20210909
85	DB00092	BIOD00055 | BTD00055	Alefacept		DrugBank	20210103	20210909
86	DB00093	BIOD00114 | BTD00114	Felypressin	2-(L-phenylalanine)-8-L-lysinevasopressin | Felipresina | Felypressin | Felypressine | Felypressinum | PLV-2	DrugBank	20210103	20210909
87	DB00094	BIOD00104 | BTD00104	Urofollitropin	Follitropin human | Urofollitrophin	DrugBank	20210103	20210909
88	DB00095	BIOD00074 | BTD00074	Efalizumab	anti-CD11a | antiCD11 alpha | Efalizumab	DrugBank	20210103	20210909
89	DB00097	BIOD00034 | BTD00034	Choriogonadotropin alfa	Choriogonadotropin alpha | Chorionic gonadotropin (recombinant)	DrugBank	20210103	20210909
90	DB00098	BIOD00040 | BTD00040	Antithymocyte immunoglobulin (rabbit)	Anti-human thymocyte immunoglobulin, rabbit | Anti-T-lymphocyte immune globulin, rabbit | Anti-thymocyte globulin (rabbit) | Anti-thymocyte globulin rabbit | Antithymocyte immunoglobulin | Lapine T-lymphocyte immune globulin | Rabbit anti-human thymocyte globulin | Rabbit anti-human thymocyte globulin (rATG) | Rabbit anti-human thymocyte immunoglobulin | Rabbit anti-thymocyte immunoglobulin | Rabbit antithymocyte globulin | Rabbit ATG | rATG | Thymoglobulin | Thymoglobuline	DrugBank	20210103	20210909
91	DB00099	BIOD00072 | BTD00072 | DB09560	Filgrastim	Filgrastim-aafi | Filgrastim-sndz | G-CSF  | Granulocyte Colony Stimulating Factor  | Tbo-filgrastim	DrugBank	20210103	20210909
92	DB00100	BIOD00038 | BTD00038	Coagulation Factor IX (Recombinant)	Coagulation factor IX (recombinant) | Coagulation factor IX recombinant human | Factor IX (Recombinant) | nonacog alfa | nonacog gamma | Recombinant factor IX	DrugBank	20210103	20210909
93	DB00102	BIOD00053 | BTD00053	Becaplermin	Becaplermin | PDGF-2 | PDGF-BB | PDGFB | Platelet-derived growth factor BB, recombinant | Platelet-derived growth factor beta polypeptide | Recombinant platelet-derived growth factor BB | rhPDGF-BB | rPDGF-BB | SH-POLYPEPTIDE-59	DrugBank	20210103	20210909
94	DB00103	BIOD00075 | BTD00075	Agalsidase beta	Agalsidasa beta | Agalsidase beta (genetical recombination)	DrugBank	20210103	20210909
95	DB00104	BIOD00088 | BTD00088	Octreotide	Octreotida | Octreotide | Octreotidum | Octrotide	DrugBank	20210103	20210909
96	DB00105	BIOD00066 | BTD00066 | DB05600	Interferon alfa-2b	Interferon alfa-2b | Interferon alfa-2b, recombinant | Interferon alpha-2B | Interferon α-2b | Intron (Interferon α2b) | Intron A | Intron A (Interferon α2b) | r-INF-alpha | rIFN-alpha-2b	DrugBank	20210103	20210909
97	DB00106	BIOD00051 | BTD00051	Abarelix	Abarelix	DrugBank	20210103	20210909
98	DB00107	BIOD00016 | BTD00016	Oxytocin	Oxitocina | Oxytocin	DrugBank	20210103	20210909
99	DB00108	BIOD00083 | BTD00083	Natalizumab	Anti-alpha4 integrin | Anti-VLA4	DrugBank	20210103	20210909
100	DB00109	BIOD00106 | BTD00106	Enfuvirtide	Enfuvirtida	DrugBank	20210103	20210909
101	DB00110	BIOD00097 | BTD00097	Palivizumab	Palivizumab	DrugBank	20210103	20210909
102	DB00111	BIOD00007 | BTD00007	Daclizumab	Dacliximab | Daclizumab beta	DrugBank	20210103	20210909
103	DB00112	BIOD00087 | BTD00087	Bevacizumab	Anti-VEGF Humanized Monoclonal Antibody | Anti-VEGF monoclonal antibody | Bevacizumab | bevacizumab-awwb | rhuMAb-VEGF	DrugBank	20210103	20210909
104	DB00113	BIOD00107 | BTD00107	Technetium Tc-99m arcitumomab	Arcitumomab technetium-99m | Technetium (99mTc) arcitumomab | Technetium Tc 99m arcitumomab | Technetium-99m arcitumomab	DrugBank	20210103	20210909
105	DB00114	NUTR00045	Pyridoxal phosphate	3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde | 3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate | Codecarboxylase | PLP | Pyridoxal 5-monophosphoric acid ester | Pyridoxal 5-phosphate | Pyridoxal 5'-phosphate | Pyridoxal P | Pyridoxal phosphate anhydrous | Pyridoxal-5P | Pyridoxal-P	DrugBank	20210103	20210909
106	DB00115	APRD00326 | EXPT00965 | NUTR00004	Cyanocobalamin	Cianocobalamina | Cyanocob(III)alamin | Cyanocobalamin | Cyanocobalamine | Cyanocobalaminum | Vitamin B12 | Vitamin B12 complex | Vitamin B12 NOS	DrugBank	20210103	20210909
107	DB00116	NUTR00056	Tetrahydrofolic acid	5,6,7,8-tetrahydrofolate | 5,6,7,8-tetrahydrofolic acid | Tetrahydrofolate	DrugBank	20210103	20210909
108	DB00117	NUTR00030	Histidine	(S)-4-(2-Amino-2-carboxyethyl)imidazole | (S)-a-Amino-1H-imidazole-4-propanoic acid | (S)-alpha-amino-1H-Imidazole-4-propanoic acid | (S)-alpha-Amino-1H-imidazole-4-propionic acid | (S)-α-amino-1H-Imidazole-4-propanoic acid | HIS | Histidina | Histidine | L-(−)-histidine | L-Histidin | L-Histidine	DrugBank	20210103	20210909
109	DB00118	NUTR00052	Ademetionine	Ademetionine | AdoMet | L-S-Adenosylmethionine | S-Adenosylmethionine | SAM | SAM-e | SAMe	DrugBank	20210103	20210909
110	DB00119	DB11194 | NUTR00050	Pyruvic acid	2-ketopropionic acid | 2-oxopropanoic acid | 2-Oxopropansäure | 2-Oxopropionsäure | a-Ketopropionic acid | Acetylformic acid | acide pyruvique | alpha-ketopropionic acid | Brenztraubensäure | BTS | Pyroracemic acid | α-ketopropionic acid | α-Oxopropionsäure	DrugBank	20210103	20210909
111	DB00120	NUTR00044	Phenylalanine	(S)-2-Amino-3-phenylpropionic acid | (S)-alpha-Amino-beta-phenylpropionic acid | 3-phenyl-L-alanine | beta-Phenyl-L-alanine | F | Fenilalanina | L-Phenylalanine | Phe | Phenylalanine | Phenylalaninum | β-phenyl-L-alanine	DrugBank	20210103	20210909
112	DB00121	NUTR00019	Biotin	(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid | (3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-valeric acid | 5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid | Biotin | Biotina | Biotine | Biotinum | cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid | cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid | cis-Tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid | Coenzyme R | D-(+)-biotin | D-Biotin | Vitamin B7 | Vitamin H	DrugBank	20210103	20210909
113	DB00122	NUTR00020	Choline	Bilineurine | Choline ion | N-trimethylethanolamine | N,N,N-trimethylethanol-ammonium | trimethylethanolamine | Vitamin J	DrugBank	20210103	20210909
114	DB00123	DB11101 | NUTR00037	L-Lysine	(S)-2,6-diaminohexanoic acid | (S)-lysine | (S)-α,ε-diaminocaproic acid | 6-ammonio-L-norleucine | L-2,6-Diaminocaproic acid | L-lys | L-Lysin | LYS | Lysina | Lysine | Lysine acid | Lysinum	DrugBank	20210103	20210909
115	DB00125	NUTR00014	Arginine	(2S)-2-amino-5-(carbamimidamido)pentanoic acid | (2S)-2-amino-5-guanidinopentanoic acid | (S)-2-amino-5-guanidinopentanoic acid | (S)-2-Amino-5-guanidinovaleric acid | Arg | Arginina | Arginine | L-(+)-Arginine | L-Arg | L-Arginin | L-arginine | R	DrugBank	20210103	20210909
116	DB00126	APRD00084 | DB09541 | DB11167 | DB11170 | DB11316 | DB11317 | EXPT00568 | NUTR00001	Ascorbic acid	acide ascorbique | ácido ascórbico | Acidum ascorbicum | acidum ascorbinicum | Ascorbate | Ascorbic acid | Ascorbinsäure | L-(+)-ascorbic acid | L-Ascorbate | L-Ascorbic Acid | Vitamin C | Vitamina C	DrugBank	20210103	20210909
117	DB00127	DB02564 | EXPT02947 | NUTR00055	Spermine	4,9-diaza-1,12-dodecanediamine | 4,9-diazadodecane-1,12-diamine | Musculamine | N,N'-Bis(3-aminopropyl)-1,4-butanediamine | Spermina | Spermine	DrugBank	20210103	20210909
118	DB00128	EXPT01823 | NUTR00016	Aspartic acid	(S)-2-aminobutanedioic acid | (S)-2-aminosuccinic acid | 2-Aminosuccinic acid | ácido aspártico | Acidum asparticum | Asp | Aspartic acid | D | L-Asp | L-Asparaginsäure | L-Aspartate | L-Aspartic acid	DrugBank	20210103	20210909
119	DB00129	NUTR00043	Ornithine	(S)-2,5-Diaminopentanoate | (S)-2,5-Diaminopentanoic acid | (S)-2,5-diaminovaleric acid | (S)-ornithine | (S)-α,δ-diaminovaleric acid | L-Ornithine | levo-ornithine | Ornithine | Ornithinum | Ornitina	DrugBank	20210103	20210909
120	DB00130	NUTR00026	L-Glutamine	(2S)-2-amino-4-carbamoylbutanoic acid | (2S)-2,5-diamino-5-oxopentanoic acid | (S)-2,5-diamino-5-oxopentanoic acid | Glutamic acid 5-amide | Glutamic acid amide | Glutamina | Glutamine | L-(+)-glutamine | L-2-aminoglutaramic acid | L-glutamic acid γ-amide | L-Glutamin | L-Glutaminsäure-5-amid | Levoglutamide | Q	DrugBank	20210103	20210909
